release_year,title,country,date_added,duration,listed_in,type
1920,3,0,0,3,3,3
1922,2,0,0,2,2,2
1923,1,0,0,1,1,1
1924,1,0,0,1,1,1
1925,8,0,0,8,8,8
1926,2,0,0,2,2,2
1927,1,0,0,1,1,1
1929,4,0,0,4,4,4
1930,5,0,0,5,5,5
1931,3,0,0,3,3,3
1932,8,0,0,8,8,8
1933,5,0,0,5,5,5
1934,12,0,0,12,12,12
1935,15,0,0,15,15,15
1936,29,0,0,29,29,29
1937,24,0,0,24,24,24
1938,15,0,0,15,15,15
1939,21,1,0,21,21,21
1940,16,0,0,16,16,16
1941,22,0,0,22,22,22
1942,16,0,0,16,16,16
1943,21,0,0,21,21,21
1944,12,0,0,12,12,12
1945,14,0,0,14,14,14
1946,21,2,0,21,21,21
1947,22,0,0,22,22,22
1948,15,0,0,15,15,15
1949,14,0,0,14,14,14
1950,21,0,0,21,21,21
1951,18,1,0,18,18,18
1952,16,0,0,16,16,16
1953,21,0,0,21,21,21
1954,15,0,0,15,15,15
1955,9,1,0,9,9,9
1956,17,1,0,17,17,17
1957,5,0,0,5,5,5
1958,15,0,0,15,15,15
1959,18,1,0,18,18,18
1960,12,0,0,12,12,12
1961,11,0,0,11,11,11
1962,12,1,0,12,12,12
1963,20,2,0,20,20,20
1964,13,0,0,13,13,13
1965,9,0,0,9,9,9
1966,10,0,0,10,10,10
1967,17,1,1,17,17,17
1968,19,1,0,19,19,19
1969,16,0,0,16,16,16
1970,25,0,0,25,25,25
1971,16,1,0,16,16,16
1972,20,0,0,20,20,20
1973,17,1,0,17,17,17
1974,24,1,0,24,24,24
1975,27,1,0,27,27,27
1976,12,0,0,12,12,12
1977,14,0,0,14,14,14
1978,23,0,0,23,23,23
1979,16,3,0,16,16,16
1980,25,0,0,25,25,25
1981,22,1,1,22,22,22
1982,17,0,0,17,17,17
1983,17,0,0,17,17,17
1984,28,2,0,28,28,28
1985,28,0,0,28,28,28
1986,40,1,0,40,40,40
1987,33,1,0,33,33,33
1988,44,2,1,44,44,44
1989,45,5,2,45,45,45
1990,40,2,0,40,40,40
1991,45,5,0,45,45,45
1992,56,5,0,56,56,56
1993,57,5,0,57,57,57
1994,63,5,1,63,63,63
1995,72,6,3,72,72,72
1996,62,1,0,62,62,62
1997,59,2,0,59,59,59
1998,59,5,3,59,59,59
1999,64,1,1,64,64,64
2000,81,3,1,81,81,81
2001,82,4,0,82,82,82
2002,92,10,0,92,92,92
2003,81,6,0,81,81,81
2004,103,6,2,103,103,103
2005,112,3,0,112,112,112
2006,138,12,3,138,138,138
2007,176,13,1,176,176,176
2008,171,12,2,171,171,171
2009,149,12,3,149,149,149
2010,186,5,0,186,186,186
2011,252,15,2,252,252,252
2012,252,14,3,252,252,252
2013,289,14,4,289,289,289
2014,391,20,6,391,391,391
2015,378,21,5,378,378,378
2016,521,48,9,521,521,521
2017,562,56,10,562,562,562
2018,623,69,14,623,623,623
2019,929,111,12,929,929,929
2020,962,91,12,962,962,962
2021,1442,59,53,1442,1442,1442
