release_year,title,country,date_added,duration,listed_in,type
1928,1,1,1,1,1,1
1932,3,3,3,3,3,3
1933,3,3,3,3,3,3
1934,4,4,4,4,4,4
1935,4,4,4,4,4,4
1936,6,6,6,6,6,6
1937,6,6,6,6,6,6
1938,4,4,4,4,4,4
1939,5,5,5,5,5,5
1940,7,7,7,7,7,7
1941,7,7,7,7,7,7
1942,6,6,6,6,6,6
1943,2,2,2,2,2,2
1944,1,1,1,1,1,1
1945,1,1,1,1,1,1
1946,2,2,2,2,2,2
1947,5,5,5,5,5,5
1948,5,5,5,5,5,5
1949,5,5,5,5,5,5
1950,6,6,6,6,6,6
1951,4,4,4,4,4,4
1952,8,8,8,8,8,8
1953,6,6,6,6,6,6
1954,4,4,4,4,4,4
1955,9,9,9,9,9,9
1956,4,4,4,4,4,4
1957,4,4,4,4,4,4
1959,5,5,5,5,5,5
1960,3,3,3,3,3,3
1961,5,5,5,5,5,5
1962,3,3,3,3,3,3
1963,3,3,3,3,3,3
1964,3,3,3,3,3,3
1965,3,3,3,3,3,3
1966,2,2,2,2,2,2
1967,2,2,2,2,2,2
1968,1,1,1,1,1,1
1969,4,4,4,4,4,4
1970,1,1,1,1,1,1
1971,3,3,3,3,3,3
1972,3,3,3,3,3,3
1973,2,2,2,2,2,2
1974,4,4,4,4,4,4
1975,4,4,4,4,4,4
1976,4,4,4,4,4,4
1977,6,6,6,6,6,6
1978,4,4,4,4,4,4
1979,5,5,5,5,5,5
1980,4,4,4,4,4,4
1981,3,3,3,3,3,3
1982,2,2,2,2,2,2
1983,2,2,2,2,2,2
1984,4,3,4,4,4,4
1985,8,6,8,8,8,8
1986,7,7,7,7,7,7
1987,7,7,7,7,7,7
1988,5,5,5,5,5,5
1989,7,7,7,7,7,7
1990,5,5,5,5,5,5
1991,6,6,6,6,6,6
1992,10,10,10,10,10,10
1993,13,13,13,13,13,13
1994,13,13,13,13,13,13
1995,13,13,13,13,13,13
1996,16,15,16,16,16,16
1997,17,15,17,17,17,17
1998,19,19,19,19,19,19
1999,22,22,22,22,22,22
2000,26,26,26,26,26,26
2001,18,18,18,18,18,18
2002,21,21,21,21,21,21
2003,29,28,29,29,29,29
2004,28,28,28,28,28,28
2005,32,32,32,32,32,32
2006,31,31,31,31,31,31
2007,20,20,20,20,20,20
2008,31,30,30,31,31,31
2009,33,33,33,33,33,33
2010,36,36,36,36,36,36
2011,48,46,48,48,48,48
2012,39,37,39,39,39,39
2013,31,26,31,31,31,31
2014,47,40,46,47,47,47
2015,43,40,43,43,43,43
2016,60,48,59,60,60,60
2017,67,48,67,67,67,67
2018,65,46,65,65,65,65
2019,97,80,97,97,97,97
2020,109,89,109,109,109,109
2021,82,21,82,82,82,82
