release_year,title,country,date_added,duration,listed_in,type
1925,1,0,1,1,1,1
1942,2,2,2,2,2,2
1943,3,3,3,3,3,3
1944,3,3,3,3,3,3
1945,4,4,4,4,4,4
1946,2,2,2,2,2,2
1947,1,1,1,1,1,1
1954,2,2,2,2,2,2
1955,3,3,3,3,3,3
1956,2,2,2,2,2,2
1958,3,3,3,3,3,3
1959,1,1,1,1,1,1
1960,4,3,4,4,4,4
1961,1,1,1,1,1,1
1962,3,3,3,3,3,3
1963,2,2,2,2,2,2
1964,2,2,2,2,2,2
1965,2,2,2,2,2,2
1966,1,1,1,1,1,1
1967,5,5,5,5,5,5
1968,3,3,3,3,3,3
1969,2,2,2,2,2,2
1970,2,2,2,2,2,2
1971,5,5,5,5,5,5
1972,5,5,5,5,5,5
1973,10,10,10,10,10,10
1974,7,7,7,7,7,7
1975,7,7,7,7,7,7
1976,9,9,9,9,9,9
1977,7,7,7,7,7,7
1978,7,7,7,7,7,7
1979,11,11,11,11,11,11
1980,11,11,11,11,11,11
1981,13,11,13,13,13,13
1982,17,15,17,17,17,17
1983,11,10,11,11,11,11
1984,12,11,12,12,12,12
1985,10,9,10,10,10,10
1986,13,13,13,13,13,13
1987,8,8,8,8,8,8
1988,18,17,18,18,18,18
1989,16,16,16,16,16,16
1990,22,20,22,22,22,22
1991,17,15,17,17,17,17
1992,23,22,23,23,23,23
1993,28,27,28,28,28,28
1994,22,21,22,22,22,22
1995,25,24,25,25,25,25
1996,24,21,24,24,24,24
1997,38,37,38,38,38,38
1998,36,36,36,36,36,36
1999,39,38,39,39,39,39
2000,37,36,37,37,37,37
2001,45,44,45,45,45,45
2002,51,50,51,51,51,51
2003,61,59,59,61,61,61
2004,64,62,64,64,64,64
2005,80,79,80,80,80,80
2006,96,95,96,96,96,96
2007,88,87,88,88,88,88
2008,136,132,135,136,136,136
2009,152,142,152,152,152,152
2010,194,178,193,193,194,194
2011,185,179,185,185,185,185
2012,237,222,236,237,237,237
2013,288,270,287,288,288,288
2014,352,333,352,352,352,352
2015,560,516,558,559,560,560
2016,902,838,901,902,902,902
2017,1032,966,1032,1031,1032,1032
2018,1147,1038,1146,1147,1147,1147
2019,1030,913,1030,1030,1030,1030
2020,953,852,953,953,953,953
2021,592,383,592,592,592,592
